Organization,Category,Item,Week,Starting_Quantity,Incoming,Outgoing
Unity Food Bank,Clothing,Shirts,75,268,146,93
Unity Food Bank,Clothing,Shirts,76,306,86,48
Unity Food Bank,Clothing,Shirts,77,342,131,95
Unity Food Bank,Clothing,Shirts,78,326,108,124
Unity Food Bank,Clothing,Shirts,79,277,51,100
Unity Food Bank,Clothing,Shirts,80,238,107,146
Unity Food Bank,Clothing,Shirts,81,206,109,141
Unity Food Bank,Clothing,Shirts,82,220,89,75
Unity Food Bank,Clothing,Shirts,83,188,86,118
Unity Food Bank,Clothing,Shirts,84,272,141,57
Unity Food Bank,Clothing,Shirts,85,317,147,102
Unity Food Bank,Clothing,Shirts,86,338,71,50
Unity Food Bank,Clothing,Shirts,87,349,107,96
Unity Food Bank,Clothing,Shirts,88,432,126,43
Unity Food Bank,Clothing,Shirts,89,521,135,46
Unity Food Bank,Clothing,Shirts,90,485,110,146
Unity Food Bank,Clothing,Shirts,91,461,103,127
Unity Food Bank,Clothing,Shirts,92,447,117,131
Unity Food Bank,Clothing,Shirts,93,535,128,40
Unity Food Bank,Clothing,Shirts,94,597,104,42
Unity Food Bank,Clothing,Shirts,95,647,127,77
Unity Food Bank,Clothing,Shirts,96,556,50,141
Unity Food Bank,Clothing,Shirts,97,519,87,124
Unity Food Bank,Clothing,Shirts,98,553,78,44
Unity Food Bank,Clothing,Shirts,99,545,123,131
Unity Food Bank,Clothing,Shirts,100,462,70,153
Unity Food Bank,Clothing,Shirts,101,476,120,106
Unity Food Bank,Clothing,Shirts,102,449,96,123
Unity Food Bank,Clothing,Shirts,103,507,132,74
Unity Food Bank,Clothing,Shirts,104,516,117,108
Unity Food Bank,Clothing,Pants,1,494,117,51
Unity Food Bank,Clothing,Pants,2,537,109,66
Unity Food Bank,Clothing,Pants,3,497,105,145
Unity Food Bank,Clothing,Pants,4,505,72,64
Unity Food Bank,Clothing,Pants,5,475,70,100
Unity Food Bank,Clothing,Pants,6,496,112,91
Unity Food Bank,Clothing,Pants,7,569,137,64
Unity Food Bank,Clothing,Pants,8,588,104,85
Unity Food Bank,Clothing,Pants,9,575,81,94
Unity Food Bank,Clothing,Pants,10,676,145,44
Unity Food Bank,Clothing,Pants,11,612,85,149
Unity Food Bank,Clothing,Pants,12,565,98,145
Unity Food Bank,Clothing,Pants,13,594,107,78
Unity Food Bank,Clothing,Pants,14,587,129,136
Unity Food Bank,Clothing,Pants,15,621,134,100
Unity Food Bank,Clothing,Pants,16,634,58,45
Unity Food Bank,Clothing,Pants,17,640,84,78
Unity Food Bank,Clothing,Pants,18,631,71,80
Unity Food Bank,Clothing,Pants,19,604,54,81
Unity Food Bank,Clothing,Pants,20,620,136,120
Unity Food Bank,Clothing,Pants,21,619,125,126
Unity Food Bank,Clothing,Pants,22,642,129,106
Unity Food Bank,Clothing,Pants,23,625,79,96
Unity Food Bank,Clothing,Pants,24,648,135,112
Unity Food Bank,Clothing,Pants,25,576,78,150
Unity Food Bank,Clothing,Pants,26,536,86,126
Unity Food Bank,Clothing,Pants,27,527,62,71
Unity Food Bank,Clothing,Pants,28,467,95,155
Unity Food Bank,Clothing,Pants,29,455,72,84
Unity Food Bank,Clothing,Pants,30,363,66,158
Unity Food Bank,Clothing,Pants,31,392,134,105
Unity Food Bank,Clothing,Pants,32,300,55,147
Unity Food Bank,Clothing,Pants,33,234,67,133
Unity Food Bank,Clothing,Pants,34,148,71,157
Unity Food Bank,Clothing,Pants,35,161,82,69
Unity Food Bank,Clothing,Pants,36,145,130,146
Unity Food Bank,Clothing,Pants,37,145,81,81
Unity Food Bank,Clothing,Pants,38,223,127,49
Unity Food Bank,Clothing,Pants,39,235,85,73
Unity Food Bank,Clothing,Pants,40,212,122,145
Unity Food Bank,Clothing,Pants,41,239,77,50
Unity Food Bank,Clothing,Pants,42,288,127,78
Unity Food Bank,Clothing,Pants,43,227,96,157
Unity Food Bank,Clothing,Pants,44,138,68,157
Unity Food Bank,Clothing,Pants,45,135,64,67
Unity Food Bank,Clothing,Pants,46,97,73,111
Unity Food Bank,Clothing,Pants,47,69,58,86
Unity Food Bank,Clothing,Pants,48,50,82,101
Unity Food Bank,Clothing,Pants,49,138,146,58
Unity Food Bank,Clothing,Pants,50,141,116,113
Unity Food Bank,Clothing,Pants,51,144,89,86
Unity Food Bank,Clothing,Pants,52,190,114,68
Unity Food Bank,Clothing,Pants,53,152,99,137
Unity Food Bank,Clothing,Pants,54,57,62,157
Unity Food Bank,Clothing,Pants,55,34,50,73
Unity Food Bank,Clothing,Pants,56,89,142,87
Unity Food Bank,Clothing,Pants,57,128,126,87
Unity Food Bank,Clothing,Pants,58,70,98,156
Unity Food Bank,Clothing,Pants,59,83,113,100
Unity Food Bank,Clothing,Pants,60,83,78,78
Unity Food Bank,Clothing,Pants,61,155,137,65
Unity Food Bank,Clothing,Pants,62,111,66,110
Unity Food Bank,Clothing,Pants,63,65,62,108
Unity Food Bank,Clothing,Pants,64,52,75,88
Unity Food Bank,Clothing,Pants,65,122,116,46
Unity Food Bank,Clothing,Pants,66,141,107,88
Unity Food Bank,Clothing,Pants,67,139,102,104
Unity Food Bank,Clothing,Pants,68,194,111,56
Unity Food Bank,Clothing,Pants,69,222,92,64
Unity Food Bank,Clothing,Pants,70,156,52,118
Unity Food Bank,Clothing,Pants,71,78,78,156
Unity Food Bank,Clothing,Pants,72,94,81,65
Unity Food Bank,Clothing,Pants,73,95,65,64
Unity Food Bank,Clothing,Pants,74,131,103,67
Unity Food Bank,Clothing,Pants,75,94,122,159
Unity Food Bank,Clothing,Pants,76,95,105,104
Unity Food Bank,Clothing,Pants,77,112,142,125
Unity Food Bank,Clothing,Pants,78,161,129,80
Unity Food Bank,Clothing,Pants,79,104,100,157
Unity Food Bank,Clothing,Pants,80,107,120,117
Unity Food Bank,Clothing,Pants,81,63,78,122
Unity Food Bank,Clothing,Pants,82,26,68,105
Unity Food Bank,Clothing,Pants,83,32,90,84
Unity Food Bank,Clothing,Pants,84,54,64,42
Unity Food Bank,Clothing,Pants,85,22,60,92
Unity Food Bank,Clothing,Pants,86,48,95,69
Unity Food Bank,Clothing,Pants,87,11,106,143
Unity Food Bank,Clothing,Pants,88,0,67,90
Unity Food Bank,Clothing,Pants,89,0,97,105
Unity Food Bank,Clothing,Pants,90,98,145,47
Unity Food Bank,Clothing,Pants,91,124,71,45
Unity Food Bank,Clothing,Pants,92,99,125,150
Unity Food Bank,Clothing,Pants,93,62,106,143
Unity Food Bank,Clothing,Pants,94,29,85,118
Unity Food Bank,Clothing,Pants,95,15,141,155
Unity Food Bank,Clothing,Pants,96,33,106,88
Unity Food Bank,Clothing,Pants,97,6,94,121
Unity Food Bank,Clothing,Pants,98,5,115,116
Unity Food Bank,Clothing,Pants,99,0,94,157
Unity Food Bank,Clothing,Pants,100,69,128,59
Unity Food Bank,Clothing,Pants,101,50,113,132
Unity Food Bank,Clothing,Pants,102,86,142,106
Unity Food Bank,Clothing,Pants,103,176,132,42
Unity Food Bank,Clothing,Pants,104,162,103,117
Unity Food Bank,Clothing,Jackets,1,610,89,98
Unity Food Bank,Clothing,Jackets,2,613,104,101
Unity Food Bank,Clothing,Jackets,3,567,53,99
Unity Food Bank,Clothing,Jackets,4,557,124,134
Unity Food Bank,Clothing,Jackets,5,572,145,130
Unity Food Bank,Clothing,Jackets,6,505,79,146
Unity Food Bank,Clothing,Jackets,7,455,51,101
Unity Food Bank,Clothing,Jackets,8,505,98,48
Unity Food Bank,Clothing,Jackets,9,576,141,70
Unity Food Bank,Clothing,Jackets,10,623,147,100
Unity Food Bank,Clothing,Jackets,11,664,128,87
Unity Food Bank,Clothing,Jackets,12,663,74,75
Unity Food Bank,Clothing,Jackets,13,608,57,112
Unity Food Bank,Clothing,Jackets,14,575,107,140
Unity Food Bank,Clothing,Jackets,15,568,94,101
Unity Food Bank,Clothing,Jackets,16,521,88,135
Unity Food Bank,Clothing,Jackets,17,473,107,155
Unity Food Bank,Clothing,Jackets,18,465,130,138
Unity Food Bank,Clothing,Jackets,19,494,132,103
Unity Food Bank,Clothing,Jackets,20,519,93,68
Unity Food Bank,Clothing,Jackets,21,517,108,110
Unity Food Bank,Clothing,Jackets,22,610,141,48
Unity Food Bank,Clothing,Jackets,23,706,141,45
Unity Food Bank,Clothing,Jackets,24,687,78,97
Unity Food Bank,Clothing,Jackets,25,698,66,55
Unity Food Bank,Clothing,Jackets,26,700,136,134
Unity Food Bank,Clothing,Jackets,27,692,52,60
Unity Food Bank,Clothing,Jackets,28,676,113,129
Unity Food Bank,Clothing,Jackets,29,616,85,145
Unity Food Bank,Clothing,Jackets,30,650,135,101
Unity Food Bank,Clothing,Jackets,31,626,91,115
Unity Food Bank,Clothing,Jackets,32,617,91,100
Unity Food Bank,Clothing,Jackets,33,629,62,50
Unity Food Bank,Clothing,Jackets,34,677,103,55
Unity Food Bank,Clothing,Jackets,35,591,57,143
Unity Food Bank,Clothing,Jackets,36,603,108,96
Unity Food Bank,Clothing,Jackets,37,544,89,148
Unity Food Bank,Clothing,Jackets,38,611,108,41
Unity Food Bank,Clothing,Jackets,39,621,143,133
Unity Food Bank,Clothing,Jackets,40,697,125,49
Unity Food Bank,Clothing,Jackets,41,740,93,50
Unity Food Bank,Clothing,Jackets,42,749,128,119
Unity Food Bank,Clothing,Jackets,43,750,130,129
Unity Food Bank,Clothing,Jackets,44,712,51,89
Unity Food Bank,Clothing,Jackets,45,619,61,154
Unity Food Bank,Clothing,Jackets,46,696,139,62
Unity Food Bank,Clothing,Jackets,47,662,67,101
Unity Food Bank,Clothing,Jackets,48,655,145,152
Unity Food Bank,Clothing,Jackets,49,689,111,77
Unity Food Bank,Clothing,Jackets,50,728,116,77
Unity Food Bank,Clothing,Jackets,51,711,116,133
Unity Food Bank,Clothing,Jackets,52,781,110,40
Unity Food Bank,Clothing,Jackets,53,840,143,84
Unity Food Bank,Clothing,Jackets,54,918,145,67
Unity Food Bank,Clothing,Jackets,55,839,70,149
Unity Food Bank,Clothing,Jackets,56,835,62,66
Unity Food Bank,Clothing,Jackets,57,938,149,46
Unity Food Bank,Clothing,Jackets,58,896,71,113
Unity Food Bank,Clothing,Jackets,59,880,102,118
Unity Food Bank,Clothing,Jackets,60,965,128,43
Unity Food Bank,Clothing,Jackets,61,1048,145,62
Unity Food Bank,Clothing,Jackets,62,1040,119,127
Unity Food Bank,Clothing,Jackets,63,1033,133,140
Unity Food Bank,Clothing,Jackets,64,1051,133,115
Unity Food Bank,Clothing,Jackets,65,1066,82,67
Unity Food Bank,Clothing,Jackets,66,1083,57,40
Unity Food Bank,Clothing,Jackets,67,1067,86,102
Unity Food Bank,Clothing,Jackets,68,1029,71,109
Unity Food Bank,Clothing,Jackets,69,964,70,135
Unity Food Bank,Clothing,Jackets,70,930,84,118
Unity Food Bank,Clothing,Jackets,71,885,54,99
Unity Food Bank,Clothing,Jackets,72,891,95,89
Unity Food Bank,Clothing,Jackets,73,943,97,45
Unity Food Bank,Clothing,Jackets,74,986,138,95
Unity Food Bank,Clothing,Jackets,75,935,108,159
Unity Food Bank,Clothing,Jackets,76,903,78,110
Unity Food Bank,Clothing,Jackets,77,888,126,141
Unity Food Bank,Clothing,Jackets,78,914,67,41
Unity Food Bank,Clothing,Jackets,79,857,57,114
Unity Food Bank,Clothing,Jackets,80,910,146,93
Unity Food Bank,Clothing,Jackets,81,910,87,87
Unity Food Bank,Clothing,Jackets,82,927,76,59
Unity Food Bank,Clothing,Jackets,83,906,61,82
Unity Food Bank,Clothing,Jackets,84,946,110,70
Unity Food Bank,Clothing,Jackets,85,951,140,135
Unity Food Bank,Clothing,Jackets,86,948,110,113
Unity Food Bank,Clothing,Jackets,87,916,116,148
Unity Food Bank,Clothing,Jackets,88,982,140,74
Unity Food Bank,Clothing,Jackets,89,1072,144,54
Unity Food Bank,Clothing,Jackets,90,1085,65,52
Unity Food Bank,Clothing,Jackets,91,1014,84,155
Unity Food Bank,Clothing,Jackets,92,1040,124,98
Unity Food Bank,Clothing,Jackets,93,956,70,154
Unity Food Bank,Clothing,Jackets,94,945,103,114
Unity Food Bank,Clothing,Jackets,95,937,79,87
Unity Food Bank,Clothing,Jackets,96,896,84,125
Unity Food Bank,Clothing,Jackets,97,913,87,70
Unity Food Bank,Clothing,Jackets,98,977,127,63
Unity Food Bank,Clothing,Jackets,99,940,98,135
Unity Food Bank,Clothing,Jackets,100,1018,149,71
Unity Food Bank,Clothing,Jackets,101,1004,104,118
Unity Food Bank,Clothing,Jackets,102,973,107,138
Unity Food Bank,Clothing,Jackets,103,906,52,119
Unity Food Bank,Clothing,Jackets,104,900,118,124
Unity Food Bank,Clothing,Shoes,1,361,59,122
Unity Food Bank,Clothing,Shoes,2,328,74,107
Unity Food Bank,Clothing,Shoes,3,370,110,68
Unity Food Bank,Clothing,Shoes,4,356,68,82
Unity Food Bank,Clothing,Shoes,5,358,115,113
Unity Food Bank,Clothing,Shoes,6,386,110,82
Unity Food Bank,Clothing,Shoes,7,401,74,59
Unity Food Bank,Clothing,Shoes,8,376,97,122
Unity Food Bank,Clothing,Shoes,9,449,136,63
Unity Food Bank,Clothing,Shoes,10,360,60,149
Unity Food Bank,Clothing,Shoes,11,413,147,94
Unity Food Bank,Clothing,Shoes,12,382,77,108
Unity Food Bank,Clothing,Shoes,13,396,112,98
Unity Food Bank,Clothing,Shoes,14,360,54,90
Unity Food Bank,Clothing,Shoes,15,379,70,51
Unity Food Bank,Clothing,Shoes,16,435,99,43
Unity Food Bank,Clothing,Shoes,17,403,91,123
Unity Food Bank,Clothing,Shoes,18,426,87,64
Unity Food Bank,Clothing,Shoes,19,375,63,114
Unity Food Bank,Clothing,Shoes,20,406,81,50
Unity Food Bank,Clothing,Shoes,21,459,110,57
Unity Food Bank,Clothing,Shoes,22,441,76,94
Unity Food Bank,Clothing,Shoes,23,423,103,121
Unity Food Bank,Clothing,Shoes,24,445,136,114
Unity Food Bank,Clothing,Shoes,25,432,70,83
Unity Food Bank,Clothing,Shoes,26,360,54,126
Unity Food Bank,Clothing,Shoes,27,352,90,98
Unity Food Bank,Clothing,Shoes,28,346,138,144
Unity Food Bank,Clothing,Shoes,29,336,103,113
Unity Food Bank,Clothing,Shoes,30,285,71,122
Unity Food Bank,Clothing,Shoes,31,296,114,103
Unity Food Bank,Clothing,Shoes,32,373,120,43
Unity Food Bank,Clothing,Shoes,33,433,114,54
Unity Food Bank,Clothing,Shoes,34,497,125,61
Unity Food Bank,Clothing,Shoes,35,479,135,153
Unity Food Bank,Clothing,Shoes,36,455,96,120
Unity Food Bank,Clothing,Shoes,37,512,142,85
Unity Food Bank,Clothing,Shoes,38,486,63,89
Unity Food Bank,Clothing,Shoes,39,466,69,89
Unity Food Bank,Clothing,Shoes,40,390,82,158
Unity Food Bank,Clothing,Shoes,41,416,108,82
Unity Food Bank,Clothing,Shoes,42,493,128,51
Unity Food Bank,Clothing,Shoes,43,425,89,157
Unity Food Bank,Clothing,Shoes,44,361,69,133
Unity Food Bank,Clothing,Shoes,45,406,87,42
Unity Food Bank,Clothing,Shoes,46,388,77,95
Unity Food Bank,Clothing,Shoes,47,394,139,133
Unity Food Bank,Clothing,Shoes,48,340,62,116
Unity Food Bank,Clothing,Shoes,49,379,115,76
Unity Food Bank,Clothing,Shoes,50,336,98,141
Unity Food Bank,Clothing,Shoes,51,376,115,75
Unity Food Bank,Clothing,Shoes,52,414,103,65
Unity Food Bank,Clothing,Shoes,53,427,124,111
Unity Food Bank,Clothing,Shoes,54,434,89,82
Unity Food Bank,Clothing,Shoes,55,446,71,59
Unity Food Bank,Clothing,Shoes,56,435,57,68
Unity Food Bank,Clothing,Shoes,57,395,89,129
Unity Food Bank,Clothing,Shoes,58,354,79,120
Unity Food Bank,Clothing,Shoes,59,332,133,155
Unity Food Bank,Clothing,Shoes,60,381,104,55
Unity Food Bank,Clothing,Shoes,61,375,95,101
Unity Food Bank,Clothing,Shoes,62,312,56,119
Unity Food Bank,Clothing,Shoes,63,308,94,98
Unity Food Bank,Clothing,Shoes,64,326,105,87
Unity Food Bank,Clothing,Shoes,65,310,76,92
Unity Food Bank,Clothing,Shoes,66,319,136,127
Unity Food Bank,Clothing,Shoes,67,367,122,74
Unity Food Bank,Clothing,Shoes,68,344,100,123
Unity Food Bank,Clothing,Shoes,69,285,86,145
Unity Food Bank,Clothing,Shoes,70,265,130,150
Unity Food Bank,Clothing,Shoes,71,251,144,158
Unity Food Bank,Clothing,Shoes,72,310,106,47
Unity Food Bank,Clothing,Shoes,73,304,128,134
Unity Food Bank,Clothing,Shoes,74,298,143,149
Unity Food Bank,Clothing,Shoes,75,225,69,142
Unity Food Bank,Clothing,Shoes,76,169,102,158
Unity Food Bank,Clothing,Shoes,77,142,61,88
Unity Food Bank,Clothing,Shoes,78,105,66,103
Unity Food Bank,Clothing,Shoes,79,63,91,133
Unity Food Bank,Clothing,Shoes,80,83,78,58
Unity Food Bank,Clothing,Shoes,81,6,60,137
Unity Food Bank,Clothing,Shoes,82,0,99,110
Unity Food Bank,Clothing,Shoes,83,34,107,73
Unity Food Bank,Clothing,Shoes,84,14,69,89
Unity Food Bank,Clothing,Shoes,85,102,137,49
Unity Food Bank,Clothing,Shoes,86,92,81,91
Unity Food Bank,Clothing,Shoes,87,16,64,140
Unity Food Bank,Clothing,Shoes,88,107,133,42
Unity Food Bank,Clothing,Shoes,89,114,86,79
Unity Food Bank,Clothing,Shoes,90,156,121,79
Unity Food Bank,Clothing,Shoes,91,199,105,62
Unity Food Bank,Clothing,Shoes,92,110,60,149
Unity Food Bank,Clothing,Shoes,93,176,113,47
Unity Food Bank,Clothing,Shoes,94,185,142,133
Unity Food Bank,Clothing,Shoes,95,191,105,99
Unity Food Bank,Clothing,Shoes,96,172,59,78
Unity Food Bank,Clothing,Shoes,97,161,77,88
Unity Food Bank,Clothing,Shoes,98,194,85,52
Unity Food Bank,Clothing,Shoes,99,264,145,75
Unity Food Bank,Clothing,Shoes,100,214,75,125
Unity Food Bank,Clothing,Shoes,101,133,53,134
Unity Food Bank,Clothing,Shoes,102,161,131,103
Unity Food Bank,Clothing,Shoes,103,121,87,127
Unity Food Bank,Clothing,Shoes,104,196,136,61
Unity Food Bank,Clothing,Blankets,1,351,80,158
Unity Food Bank,Clothing,Blankets,2,280,60,131
Unity Food Bank,Clothing,Blankets,3,240,95,135
Unity Food Bank,Clothing,Blankets,4,243,111,108
Unity Food Bank,Clothing,Blankets,5,215,113,141
Unity Food Bank,Clothing,Blankets,6,195,59,79
Unity Food Bank,Clothing,Blankets,7,130,73,138
Unity Food Bank,Clothing,Blankets,8,72,93,151
Unity Food Bank,Clothing,Blankets,9,80,109,101
Unity Food Bank,Clothing,Blankets,10,160,136,56
Unity Food Bank,Clothing,Blankets,11,116,114,158
Unity Food Bank,Clothing,Blankets,12,126,144,134
Unity Food Bank,Clothing,Blankets,13,138,106,94
Unity Food Bank,Clothing,Blankets,14,145,102,95
Unity Food Bank,Clothing,Blankets,15,244,147,48
Unity Food Bank,Clothing,Blankets,16,263,71,52
Unity Food Bank,Clothing,Blankets,17,314,138,87
Unity Food Bank,Clothing,Blankets,18,227,67,154
Unity Food Bank,Clothing,Blankets,19,273,125,79
Unity Food Bank,Clothing,Blankets,20,285,66,54
Unity Food Bank,Clothing,Blankets,21,231,64,118
Unity Food Bank,Clothing,Blankets,22,185,112,158
Unity Food Bank,Clothing,Blankets,23,221,88,52
Unity Food Bank,Clothing,Blankets,24,280,130,71
Unity Food Bank,Clothing,Blankets,25,259,58,79
Unity Food Bank,Clothing,Blankets,26,199,69,129
Unity Food Bank,Clothing,Blankets,27,215,140,124
Unity Food Bank,Clothing,Blankets,28,230,131,116
Unity Food Bank,Clothing,Blankets,29,247,129,112
Unity Food Bank,Clothing,Blankets,30,244,112,115
Unity Food Bank,Clothing,Blankets,31,260,93,77
Unity Food Bank,Clothing,Blankets,32,293,132,99
Unity Food Bank,Clothing,Blankets,33,275,120,138
Unity Food Bank,Clothing,Blankets,34,315,97,57
Unity Food Bank,Clothing,Blankets,35,286,65,94
Unity Food Bank,Clothing,Blankets,36,267,88,107
Unity Food Bank,Clothing,Blankets,37,247,108,128
Unity Food Bank,Clothing,Blankets,38,291,145,101
Unity Food Bank,Clothing,Blankets,39,205,62,148
Unity Food Bank,Clothing,Blankets,40,183,130,152
Unity Food Bank,Clothing,Blankets,41,116,55,122
Unity Food Bank,Clothing,Blankets,42,143,126,99
Unity Food Bank,Clothing,Blankets,43,229,139,53
Unity Food Bank,Clothing,Blankets,44,280,144,93
Unity Food Bank,Clothing,Blankets,45,255,53,78
Unity Food Bank,Clothing,Blankets,46,312,121,64
Unity Food Bank,Clothing,Blankets,47,367,126,71
Unity Food Bank,Clothing,Blankets,48,334,108,141
Unity Food Bank,Clothing,Blankets,49,369,112,77
Unity Food Bank,Clothing,Blankets,50,418,141,92
Unity Food Bank,Clothing,Blankets,51,455,143,106
Unity Food Bank,Clothing,Blankets,52,490,77,42
Unity Food Bank,Clothing,Blankets,53,518,147,119
Unity Food Bank,Clothing,Blankets,54,454,71,135
Unity Food Bank,Clothing,Blankets,55,430,87,111
Unity Food Bank,Clothing,Blankets,56,450,121,101
Unity Food Bank,Clothing,Blankets,57,511,106,45
Unity Food Bank,Clothing,Blankets,58,567,127,71
Unity Food Bank,Clothing,Blankets,59,666,148,49
Unity Food Bank,Clothing,Blankets,60,620,52,98
Unity Food Bank,Clothing,Blankets,61,657,125,88
Unity Food Bank,Clothing,Blankets,62,695,108,70
Unity Food Bank,Clothing,Blankets,63,729,142,108
Unity Food Bank,Clothing,Blankets,64,749,111,91
Unity Food Bank,Clothing,Blankets,65,807,138,80
Unity Food Bank,Clothing,Blankets,66,763,80,124
Unity Food Bank,Clothing,Blankets,67,754,133,142
Unity Food Bank,Clothing,Blankets,68,782,71,43
Unity Food Bank,Clothing,Blankets,69,760,62,84
Unity Food Bank,Clothing,Blankets,70,698,91,153
Unity Food Bank,Clothing,Blankets,71,737,98,59
Unity Food Bank,Clothing,Blankets,72,743,126,120
Unity Food Bank,Clothing,Blankets,73,771,103,75
Unity Food Bank,Clothing,Blankets,74,877,146,40
Unity Food Bank,Clothing,Blankets,75,825,64,116
Unity Food Bank,Clothing,Blankets,76,828,66,63
Unity Food Bank,Clothing,Blankets,77,824,107,111
Unity Food Bank,Clothing,Blankets,78,816,140,148
Unity Food Bank,Clothing,Blankets,79,803,72,85
Unity Food Bank,Clothing,Blankets,80,877,121,47
Unity Food Bank,Clothing,Blankets,81,856,108,129
Unity Food Bank,Clothing,Blankets,82,912,108,52
Unity Food Bank,Clothing,Blankets,83,860,88,140
Unity Food Bank,Clothing,Blankets,84,809,77,128
Unity Food Bank,Clothing,Blankets,85,864,110,55
Unity Food Bank,Clothing,Blankets,86,758,51,157
Unity Food Bank,Clothing,Blankets,87,833,131,56
Unity Food Bank,Clothing,Blankets,88,770,79,142
Unity Food Bank,Clothing,Blankets,89,697,62,135
Unity Food Bank,Clothing,Blankets,90,690,142,149
Unity Food Bank,Clothing,Blankets,91,712,143,121
Unity Food Bank,Clothing,Blankets,92,692,62,82
Unity Food Bank,Clothing,Blankets,93,693,134,133
Unity Food Bank,Clothing,Blankets,94,612,70,151
Unity Food Bank,Clothing,Blankets,95,596,104,120
Unity Food Bank,Clothing,Blankets,96,563,89,122
Unity Food Bank,Clothing,Blankets,97,515,64,112
Unity Food Bank,Clothing,Blankets,98,503,101,113
Unity Food Bank,Clothing,Blankets,99,555,144,92
Unity Food Bank,Clothing,Blankets,100,600,136,91
Unity Food Bank,Clothing,Blankets,101,607,79,72
Unity Food Bank,Clothing,Blankets,102,622,106,91
Unity Food Bank,Clothing,Blankets,103,587,58,93
Unity Food Bank,Clothing,Blankets,104,554,50,83
Unity Food Bank,Clothing,Socks,1,513,124,137
Unity Food Bank,Clothing,Socks,2,594,129,48
Unity Food Bank,Clothing,Socks,3,621,81,54
Unity Food Bank,Clothing,Socks,4,546,61,136
Unity Food Bank,Clothing,Socks,5,577,127,96
Unity Food Bank,Clothing,Socks,6,523,57,111
Unity Food Bank,Clothing,Socks,7,498,76,101
Unity Food Bank,Clothing,Socks,8,455,61,104
Unity Food Bank,Clothing,Socks,9,445,91,101
Unity Food Bank,Clothing,Socks,10,363,60,142
Unity Food Bank,Clothing,Socks,11,321,92,134
Unity Food Bank,Clothing,Socks,12,251,66,136
Unity Food Bank,Clothing,Socks,13,200,81,132
Unity Food Bank,Clothing,Socks,14,210,134,124
Unity Food Bank,Clothing,Socks,15,237,89,62
Unity Food Bank,Clothing,Socks,16,297,105,45
Unity Food Bank,Clothing,Socks,17,343,135,89
Unity Food Bank,Clothing,Socks,18,281,86,148
Unity Food Bank,Clothing,Socks,19,240,113,154
Unity Food Bank,Clothing,Socks,20,232,103,111
Unity Food Bank,Clothing,Socks,21,192,98,138
Unity Food Bank,Clothing,Socks,22,125,60,127
Unity Food Bank,Clothing,Socks,23,163,98,60
Unity Food Bank,Clothing,Socks,24,176,115,102
Unity Food Bank,Clothing,Socks,25,166,132,142
Unity Food Bank,Clothing,Socks,26,187,77,56
Unity Food Bank,Clothing,Socks,27,184,55,58
Unity Food Bank,Clothing,Socks,28,148,105,141
Unity Food Bank,Clothing,Socks,29,120,77,105
Unity Food Bank,Clothing,Socks,30,49,87,158
Unity Food Bank,Clothing,Socks,31,0,86,154
Unity Food Bank,Clothing,Socks,32,0,117,125
Unity Food Bank,Clothing,Socks,33,51,139,88
Unity Food Bank,Clothing,Socks,34,68,92,75
Unity Food Bank,Clothing,Socks,35,123,107,52
Unity Food Bank,Clothing,Socks,36,127,101,97
Unity Food Bank,Clothing,Socks,37,88,81,120
Unity Food Bank,Clothing,Socks,38,79,149,158
Unity Food Bank,Clothing,Socks,39,39,109,149
Unity Food Bank,Clothing,Socks,40,74,132,97
Unity Food Bank,Clothing,Socks,41,73,148,149
Unity Food Bank,Clothing,Socks,42,111,105,67
Unity Food Bank,Clothing,Socks,43,80,50,81
Unity Food Bank,Clothing,Socks,44,124,131,87
Unity Food Bank,Clothing,Socks,45,77,89,136
Unity Food Bank,Clothing,Socks,46,74,112,115
Unity Food Bank,Clothing,Socks,47,68,121,127
Unity Food Bank,Clothing,Socks,48,44,129,153
Unity Food Bank,Clothing,Socks,49,20,53,77
Unity Food Bank,Clothing,Socks,50,48,76,48
Unity Food Bank,Clothing,Socks,51,18,65,95
Unity Food Bank,Clothing,Socks,52,73,125,70
Unity Food Bank,Clothing,Socks,53,52,137,158
Unity Food Bank,Clothing,Socks,54,0,63,148
Unity Food Bank,Clothing,Socks,55,1,74,73
Unity Food Bank,Clothing,Socks,56,54,116,63
Unity Food Bank,Clothing,Socks,57,111,122,65
Unity Food Bank,Clothing,Socks,58,77,69,103
Unity Food Bank,Clothing,Socks,59,14,59,122
Unity Food Bank,Clothing,Socks,60,67,116,63
Unity Food Bank,Clothing,Socks,61,15,54,106
Unity Food Bank,Clothing,Socks,62,56,107,66
Unity Food Bank,Clothing,Socks,63,33,129,152
Unity Food Bank,Clothing,Socks,64,23,64,74
Unity Food Bank,Clothing,Socks,65,4,125,144
Unity Food Bank,Clothing,Socks,66,23,102,83
Unity Food Bank,Clothing,Socks,67,12,75,86
Unity Food Bank,Clothing,Socks,68,0,83,126
Unity Food Bank,Clothing,Socks,69,55,144,89
Unity Food Bank,Clothing,Socks,70,137,133,51
Unity Food Bank,Clothing,Socks,71,230,136,43
Unity Food Bank,Clothing,Socks,72,279,136,87
Unity Food Bank,Clothing,Socks,73,232,104,151
Unity Food Bank,Clothing,Socks,74,125,50,157
Unity Food Bank,Clothing,Socks,75,158,138,105
Unity Food Bank,Clothing,Socks,76,195,79,42
Unity Food Bank,Clothing,Socks,77,137,70,128
